timestamp,demand
2015-03-31,190.4138888888889
2015-06-30,181.2423076923077
2015-09-30,155.34565217391304
2015-12-31,145.66902173913041
2016-03-31,159.23131868131867
2016-06-30,168.59065934065933
2016-09-30,170.13967391304348
2016-12-31,175.8625
2017-03-31,194.23000000000002
2017-06-30,192.33956043956044
2017-09-30,180.65108695652177
2017-12-31,187.04782608695655
2018-03-31,207.35500000000002
2018-06-30,212.33241758241758
2018-09-30,194.10489130434783
2018-12-31,177.7695652173913
2019-03-31,174.90444444444444
2019-06-30,166.2763736263736
2019-09-30,153.50489130434784
2019-12-31,159.7407608695652
2020-03-31,176.17802197802197
2020-06-30,177.67802197802197
2020-09-30,160.4070652173913
2020-12-31,163.18858695652173
2021-03-31,179.96666666666667
2021-06-30,197.20714285714283
2021-09-30,198.80108695652174
2021-12-31,204.5288043478261
2022-03-31,210.32666666666668
2022-06-30,200.70384615384614
2022-09-30,175.80217391304348
2022-12-31,171.43695652173915
2023-03-31,184.0361111111111
2023-06-30,184.92912087912086
2023-09-30,166.1961956521739
2023-12-31,155.15163043478262
2024-03-31,160.6956043956044
2024-06-30,160.2554945054945
2024-09-30,159.9673913043478
2024-12-31,174.05434782608697
2025-03-31,197.4
