timestamp,demand
2015-01-04,184.5125
2015-01-11,187.1142857142857
2015-01-18,190.08571428571426
2015-01-25,186.62857142857143
2015-02-01,188.29999999999998
2015-02-08,196.21428571428572
2015-02-15,193.42857142857142
2015-02-22,194.08571428571426
2015-03-01,193.9
2015-03-08,197.52857142857144
2015-03-15,192.37142857142857
2015-03-22,194.75714285714284
2015-03-29,192.4
2015-04-05,192.35714285714286
2015-04-12,191.37142857142857
2015-04-19,184.31428571428572
2015-04-26,183.0142857142857
2015-05-03,194.1
2015-05-10,183.95714285714286
2015-05-17,187.82857142857142
2015-05-24,182.9
2015-05-31,179.79999999999998
2015-06-07,178.1
2015-06-14,168.57142857142858
2015-06-21,174.31428571428572
2015-06-28,176.97142857142856
2015-07-05,174.44285714285712
2015-07-12,165.62857142857143
2015-07-19,164.62142857142857
2015-07-26,165.65714285714284
2015-08-02,166.35714285714286
2015-08-09,159.05714285714288
2015-08-16,154.9857142857143
2015-08-23,151.52857142857144
2015-08-30,152.44285714285712
2015-09-06,149.8857142857143
2015-09-13,155.25714285714284
2015-09-20,145.2
2015-09-27,149.68571428571428
2015-10-04,146.54285714285714
2015-10-11,146.75714285714284
2015-10-18,144.93571428571428
2015-10-25,148.1357142857143
2015-11-01,138.64285714285714
2015-11-08,145.9
2015-11-15,144.25714285714284
2015-11-22,144.68571428571428
2015-11-29,150.6357142857143
2015-12-06,150.20000000000002
2015-12-13,140.9142857142857
2015-12-20,145.65714285714287
2015-12-27,149.57142857142858
2016-01-03,157.78571428571428
2016-01-10,147.84285714285716
2016-01-17,149.21428571428572
2016-01-24,151.1
2016-01-31,159.79999999999998
2016-02-07,156.8714285714286
2016-02-14,154.08571428571426
2016-02-21,161.80714285714288
2016-02-28,161.91428571428574
2016-03-06,160.58571428571426
2016-03-13,163.21428571428572
2016-03-20,171.29999999999998
2016-03-27,170.71428571428572
2016-04-03,172.2357142857143
2016-04-10,164.1142857142857
2016-04-17,169.0142857142857
2016-04-24,157.4857142857143
2016-05-01,167.04285714285714
2016-05-08,170.0142857142857
2016-05-15,168.25714285714284
2016-05-22,173.9857142857143
2016-05-29,178.55714285714288
2016-06-05,169.31428571428572
2016-06-12,168.1
2016-06-19,167.6
2016-06-26,171.45714285714286
2016-07-03,166.52857142857144
2016-07-10,164.90714285714284
2016-07-17,172.3857142857143
2016-07-24,169.00714285714284
2016-07-31,170.37142857142857
2016-08-07,169.45714285714286
2016-08-14,171.37142857142857
2016-08-21,169.81428571428572
2016-08-28,168.0
2016-09-04,166.87142857142857
2016-09-11,172.29999999999998
2016-09-18,173.85714285714286
2016-09-25,176.1142857142857
2016-10-02,172.71428571428572
2016-10-09,174.96428571428572
2016-10-16,173.52857142857144
2016-10-23,173.14285714285714
2016-10-30,175.58571428571426
2016-11-06,176.18571428571428
2016-11-13,175.5142857142857
2016-11-20,182.54285714285714
2016-11-27,180.24285714285716
2016-12-04,178.87857142857143
2016-12-11,177.22857142857143
2016-12-18,179.4857142857143
2016-12-25,185.57857142857142
2017-01-01,187.84285714285716
2017-01-08,191.43571428571428
2017-01-15,198.34285714285716
2017-01-22,192.20714285714286
2017-01-29,183.80714285714288
2017-02-05,190.47142857142856
2017-02-12,193.58571428571426
2017-02-19,197.57142857142858
2017-02-26,198.05714285714288
2017-03-05,202.62857142857143
2017-03-12,198.84285714285716
2017-03-19,201.31428571428572
2017-03-26,196.84285714285716
2017-04-02,194.32857142857142
2017-04-09,196.4857142857143
2017-04-16,197.57142857142858
2017-04-23,194.3857142857143
2017-04-30,185.77142857142857
2017-05-07,194.41428571428574
2017-05-14,195.74285714285716
2017-05-21,195.77142857142857
2017-05-28,187.82857142857142
2017-06-04,196.21428571428572
2017-06-11,192.62857142857143
2017-06-18,189.82857142857142
2017-06-25,189.05714285714288
2017-07-02,180.67857142857142
2017-07-09,189.98571428571427
2017-07-16,180.64285714285714
2017-07-23,180.3857142857143
2017-07-30,179.24285714285716
2017-08-06,181.55714285714288
2017-08-13,179.81428571428572
2017-08-20,173.74285714285716
2017-08-27,179.25714285714284
2017-09-03,179.62142857142857
2017-09-10,178.84285714285716
2017-09-17,180.34285714285716
2017-09-24,173.71428571428572
2017-10-01,181.25714285714284
2017-10-08,179.79999999999998
2017-10-15,188.35714285714286
2017-10-22,181.81428571428572
2017-10-29,188.3857142857143
2017-11-05,186.6142857142857
2017-11-12,186.81428571428572
2017-11-19,189.17142857142858
2017-11-26,189.31428571428572
2017-12-03,193.34285714285716
2017-12-10,187.94285714285712
2017-12-17,194.68571428571428
2017-12-24,192.17142857142858
2017-12-31,198.67142857142858
2018-01-07,200.24285714285716
2018-01-14,201.12142857142857
2018-01-21,200.94285714285712
2018-01-28,202.37142857142857
2018-02-04,203.37142857142857
2018-02-11,208.42857142857142
2018-02-18,208.62857142857143
2018-02-25,205.42857142857142
2018-03-04,213.31428571428572
2018-03-11,216.5142857142857
2018-03-18,211.14285714285714
2018-03-25,214.22857142857143
2018-04-01,215.89285714285714
2018-04-08,210.83571428571426
2018-04-15,218.84285714285716
2018-04-22,211.6
2018-04-29,209.4
2018-05-06,211.44285714285712
2018-05-13,204.58571428571426
2018-05-20,210.65714285714284
2018-05-27,207.77142857142857
2018-06-03,205.95714285714286
2018-06-10,215.45714285714286
2018-06-17,215.30714285714288
2018-06-24,204.10714285714286
2018-07-01,205.92857142857142
2018-07-08,199.85
2018-07-15,207.1142857142857
2018-07-22,201.93571428571428
2018-07-29,201.58571428571432
2018-08-05,199.3642857142857
2018-08-12,195.52857142857144
2018-08-19,192.54285714285714
