timestamp,demand
2015-01-31,192.59193548387097
2015-02-28,193.50535714285712
2015-03-31,193.11451612903227
2015-04-30,190.20499999999998
2015-05-31,181.99677419354836
2015-06-30,174.37833333333336
2015-07-31,165.25645161290322
2015-08-31,151.48387096774192
2015-09-30,143.68333333333334
2015-10-31,144.01451612903224
2015-11-30,144.48
2015-12-31,144.0483870967742
2016-01-31,152.65967741935484
2016-02-29,160.05689655172412
2016-03-31,164.03064516129032
2016-04-30,167.77166666666665
2016-05-31,168.06451612903226
2016-06-30,165.735
2016-07-31,170.3516129032258
2016-08-31,166.80967741935484
2016-09-30,170.54666666666665
2016-10-31,176.2258064516129
2016-11-30,178.26666666666668
2016-12-31,183.43709677419355
2017-01-31,189.15322580645162
2017-02-28,194.93928571428572
2017-03-31,195.53709677419354
2017-04-30,198.63166666666666
2017-05-31,191.7693548387097
2017-06-30,188.55
2017-07-31,184.3725806451613
2017-08-31,178.23225806451612
2017-09-30,179.355
2017-10-31,181.19032258064516
2017-11-30,185.92666666666668
2017-12-31,189.70483870967743
2018-01-31,204.05
2018-02-28,208.5107142857143
2018-03-31,214.53387096774193
2018-04-30,212.66833333333335
2018-05-31,210.0790322580645
2018-06-30,209.5366666666667
2018-07-31,203.94193548387096
2018-08-31,194.6209677419355
2018-09-30,187.01666666666668
2018-10-31,182.36290322580646
2018-11-30,180.18666666666667
2018-12-31,179.08870967741936
2019-01-31,174.73870967741934
2019-02-28,171.8857142857143
2019-03-31,173.92580645161289
2019-04-30,173.87333333333333
2019-05-31,165.09354838709677
2019-06-30,160.62833333333336
2019-07-31,159.1032258064516
2019-08-31,153.40322580645162
2019-09-30,150.2133333333333
2019-10-31,152.89999999999998
2019-11-30,159.73666666666668
2019-12-31,164.4322580645161
2020-01-31,168.9209677419355
2020-02-29,176.23103448275862
2020-03-31,179.70483870967743
2020-04-30,181.20333333333335
2020-05-31,177.48387096774192
2020-06-30,173.78
2020-07-31,167.44838709677418
2020-08-31,161.36129032258063
2020-09-30,155.31166666666667
2020-10-31,158.05806451612904
2020-11-30,164.08333333333334
2020-12-31,169.08064516129033
2021-01-31,172.70483870967743
2021-02-28,180.6625
2021-03-31,185.1451612903226
2021-04-30,192.31666666666666
2021-05-31,198.82580645161292
2021-06-30,194.27666666666667
2021-07-31,197.8
2021-08-31,197.90806451612903
2021-09-30,197.26333333333332
2021-10-31,199.81612903225806
2021-11-30,198.90666666666667
2021-12-31,203.6290322580645
2022-01-31,207.0483870967742
2022-02-28,211.32500000000002
2022-03-31,209.38387096774193
2022-04-30,203.13500000000002
2022-05-31,197.08870967741936
2022-06-30,192.08166666666665
2022-07-31,182.4467741935484
2022-08-31,174.08870967741936
2022-09-30,166.93333333333334
2022-10-31,166.03548387096777
2022-11-30,174.4
2022-12-31,174.83870967741936
2023-01-31,180.84193548387097
2023-02-28,183.50357142857143
2023-03-31,183.3532258064516
2023-04-30,188.99166666666667
2023-05-31,180.80967741935484
2023-06-30,179.08666666666667
2023-07-31,171.8790322580645
2023-08-31,163.45967741935485
2023-09-30,157.48
2023-10-31,151.75967741935486
2023-11-30,155.47
2023-12-31,156.24354838709678
2024-01-31,157.07580645161292
2024-02-29,159.6448275862069
2024-03-31,162.58870967741936
2024-04-30,162.40333333333334
2024-05-31,158.64354838709676
2024-06-30,158.73999999999998
2024-07-31,153.76612903225808
2024-08-31,159.0
2024-09-30,157.61499999999998
2024-10-31,169.25483870967741
2024-11-30,173.10666666666665
2024-12-31,182.53064516129032
2025-01-31,202.4
